,wave,gender,age,race,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,sports,museums,tvsports,exercise,dining,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,shopping,music,yoga,expected_happy_with_sd_people,expected_num_matches,id_
280,2.0,female,23.0,European/Caucasian-American,2.0,4.0,Social Work,20.0,20.0,20.0,15.0,15.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,7.0,4.0,9.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,9.0,6.0,5.0,4.0,1.0,7.0,0.0,"2.0, female, 23.0, European/Caucasian-American, 2.0, 4.0, Social Work, 20.0, 20.0, 20.0, 15.0, 15.0, 10.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 7.0, 4.0, 9.0, 7.0, 4.0, 6.0, 5.0, 7.0, 5.0, 3.0, 9.0, 9.0, 6.0, 5.0, 4.0, 1.0, 7.0, 0.0"
296,2.0,female,22.0,Latino/Hispanic American,1.0,5.0,Speech Language Pathology,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,8.0,8.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,5.0,1.0,"2.0, female, 22.0, Latino/Hispanic American, 1.0, 5.0, Speech Language Pathology, 17.0, 10.0, 18.0, 20.0, 25.0, 10.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 8.0, 8.0, 6.0, 8.0, 7.0, 8.0, 8.0, 5.0, 5.0, 5.0, 5.0, 7.0, 7.0, 8.0, 5.0, 1.0"
328,2.0,female,22.0,European/Caucasian-American,4.0,5.0,Social Work,20.0,22.0,18.0,15.0,15.0,10.0,6.0,9.0,8.0,7.0,8.0,8.0,7.0,9.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,9.0,8.0,5.0,7.0,3.0,"2.0, female, 22.0, European/Caucasian-American, 4.0, 5.0, Social Work, 20.0, 22.0, 18.0, 15.0, 15.0, 10.0, 6.0, 9.0, 8.0, 7.0, 8.0, 8.0, 7.0, 9.0, 7.0, 7.0, 6.0, 2.0, 2.0, 7.0, 7.0, 7.0, 5.0, 7.0, 6.0, 9.0, 8.0, 5.0, 7.0, 3.0"
344,2.0,female,23.0,European/Caucasian-American,2.0,4.0,Law,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,5.0,4.0,6.0,8.0,7.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,6.0,9.0,4.0,3.0,1.0,"2.0, female, 23.0, European/Caucasian-American, 2.0, 4.0, Law, 10.0, 20.0, 20.0, 20.0, 20.0, 10.0, 7.0, 8.0, 9.0, 8.0, 8.0, 5.0, 4.0, 6.0, 8.0, 7.0, 4.0, 2.0, 1.0, 7.0, 8.0, 5.0, 7.0, 7.0, 7.0, 6.0, 9.0, 4.0, 3.0, 1.0"
360,2.0,female,24.0,European/Caucasian-American,4.0,8.0,law,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,3.0,7.0,3.0,7.0,10.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,10.0,7.0,6.0,5.0,3.0,"2.0, female, 24.0, European/Caucasian-American, 4.0, 8.0, law, 35.0, 10.0, 20.0, 20.0, 10.0, 5.0, 8.0, 8.0, 9.0, 8.0, 9.0, 3.0, 7.0, 3.0, 7.0, 10.0, 7.0, 7.0, 2.0, 6.0, 6.0, 8.0, 8.0, 8.0, 6.0, 10.0, 7.0, 6.0, 5.0, 3.0"
376,2.0,female,27.0,Asian/Pacific Islander/Asian-American,1.0,1.0,Psychology,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,4.0,5.0,1.0,5.0,9.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,10.0,8.0,9.0,3.0,0.0,"2.0, female, 27.0, Asian/Pacific Islander/Asian-American, 1.0, 1.0, Psychology, 50.0, 0.0, 50.0, 0.0, 0.0, 0.0, 7.0, 5.0, 9.0, 9.0, 7.0, 4.0, 5.0, 1.0, 5.0, 9.0, 5.0, 1.0, 2.0, 4.0, 9.0, 6.0, 6.0, 7.0, 5.0, 10.0, 8.0, 9.0, 3.0, 0.0"
392,2.0,female,30.0,European/Caucasian-American,4.0,8.0,Educational Psychology,30.0,20.0,30.0,10.0,0.0,10.0,6.0,8.0,6.0,8.0,8.0,4.0,8.0,6.0,10.0,7.0,6.0,6.0,8.0,6.0,10.0,10.0,8.0,8.0,6.0,7.0,6.0,9.0,4.0,1.0,"2.0, female, 30.0, European/Caucasian-American, 4.0, 8.0, Educational Psychology, 30.0, 20.0, 30.0, 10.0, 0.0, 10.0, 6.0, 8.0, 6.0, 8.0, 8.0, 4.0, 8.0, 6.0, 10.0, 7.0, 6.0, 6.0, 8.0, 6.0, 10.0, 10.0, 8.0, 8.0, 6.0, 7.0, 6.0, 9.0, 4.0, 1.0"
408,2.0,female,21.0,Asian/Pacific Islander/Asian-American,2.0,2.0,Applied Maths/Econs,30.0,5.0,30.0,15.0,15.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,4.0,6.0,6.0,7.0,4.0,5.0,4.0,7.0,7.0,6.0,9.0,10.0,7.0,7.0,7.0,7.0,6.0,2.0,"2.0, female, 21.0, Asian/Pacific Islander/Asian-American, 2.0, 2.0, Applied Maths/Econs, 30.0, 5.0, 30.0, 15.0, 15.0, 5.0, 7.0, 7.0, 7.0, 7.0, 8.0, 7.0, 4.0, 6.0, 6.0, 7.0, 4.0, 5.0, 4.0, 7.0, 7.0, 6.0, 9.0, 10.0, 7.0, 7.0, 7.0, 7.0, 6.0, 2.0"
424,2.0,female,25.0,European/Caucasian-American,9.0,7.0,Mathematics,20.0,23.0,23.0,22.0,7.0,5.0,8.0,9.0,9.0,9.0,7.0,9.0,8.0,7.0,9.0,8.0,8.0,5.0,6.0,9.0,7.0,9.0,8.0,8.0,7.0,8.0,7.0,3.0,7.0,10.0,"2.0, female, 25.0, European/Caucasian-American, 9.0, 7.0, Mathematics, 20.0, 23.0, 23.0, 22.0, 7.0, 5.0, 8.0, 9.0, 9.0, 9.0, 7.0, 9.0, 8.0, 7.0, 9.0, 8.0, 8.0, 5.0, 6.0, 9.0, 7.0, 9.0, 8.0, 8.0, 7.0, 8.0, 7.0, 3.0, 7.0, 10.0"
440,2.0,female,26.0,European/Caucasian-American,7.0,8.0,Statistics,20.0,25.0,20.0,15.0,15.0,5.0,8.0,7.0,8.0,8.0,6.0,6.0,7.0,1.0,4.0,6.0,7.0,7.0,1.0,3.0,9.0,1.0,9.0,6.0,6.0,5.0,7.0,1.0,6.0,0.0,"2.0, female, 26.0, European/Caucasian-American, 7.0, 8.0, Statistics, 20.0, 25.0, 20.0, 15.0, 15.0, 5.0, 8.0, 7.0, 8.0, 8.0, 6.0, 6.0, 7.0, 1.0, 4.0, 6.0, 7.0, 7.0, 1.0, 3.0, 9.0, 1.0, 9.0, 6.0, 6.0, 5.0, 7.0, 1.0, 6.0, 0.0"
456,2.0,female,27.0,European/Caucasian-American,5.0,8.0,Organizational Psychology,10.0,10.0,30.0,25.0,10.0,15.0,7.0,8.0,7.0,9.0,5.0,6.0,9.0,4.0,6.0,10.0,8.0,7.0,6.0,7.0,5.0,6.0,10.0,7.0,8.0,4.0,7.0,9.0,7.0,6.0,"2.0, female, 27.0, European/Caucasian-American, 5.0, 8.0, Organizational Psychology, 10.0, 10.0, 30.0, 25.0, 10.0, 15.0, 7.0, 8.0, 7.0, 9.0, 5.0, 6.0, 9.0, 4.0, 6.0, 10.0, 8.0, 7.0, 6.0, 7.0, 5.0, 6.0, 10.0, 7.0, 8.0, 4.0, 7.0, 9.0, 7.0, 6.0"
472,2.0,female,23.0,Black/African American,8.0,1.0,Law,50.0,10.0,20.0,10.0,10.0,0.0,8.0,2.0,7.0,8.0,8.0,7.0,2.0,2.0,7.0,10.0,2.0,7.0,4.0,7.0,2.0,8.0,8.0,10.0,10.0,10.0,10.0,2.0,2.0,3.0,"2.0, female, 23.0, Black/African American, 8.0, 1.0, Law, 50.0, 10.0, 20.0, 10.0, 10.0, 0.0, 8.0, 2.0, 7.0, 8.0, 8.0, 7.0, 2.0, 2.0, 7.0, 10.0, 2.0, 7.0, 4.0, 7.0, 2.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 2.0, 2.0, 3.0"
488,2.0,female,24.0,Latino/Hispanic American,6.0,4.0,Law,20.0,20.0,20.0,15.0,15.0,10.0,6.0,9.0,6.0,8.0,7.0,3.0,10.0,2.0,4.0,10.0,8.0,7.0,1.0,5.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,1.0,2.0,3.0,"2.0, female, 24.0, Latino/Hispanic American, 6.0, 4.0, Law, 20.0, 20.0, 20.0, 15.0, 15.0, 10.0, 6.0, 9.0, 6.0, 8.0, 7.0, 3.0, 10.0, 2.0, 4.0, 10.0, 8.0, 7.0, 1.0, 5.0, 10.0, 9.0, 9.0, 10.0, 9.0, 10.0, 9.0, 1.0, 2.0, 3.0"
504,2.0,male,25.0,Asian/Pacific Islander/Asian-American,9.0,6.0,Operations Research,25.0,20.0,25.0,20.0,10.0,0.0,3.0,10.0,8.0,9.0,5.0,4.0,7.0,9.0,3.0,7.0,8.0,5.0,7.0,9.0,7.0,5.0,5.0,8.0,8.0,4.0,10.0,2.0,3.0,0.0,"2.0, male, 25.0, Asian/Pacific Islander/Asian-American, 9.0, 6.0, Operations Research, 25.0, 20.0, 25.0, 20.0, 10.0, 0.0, 3.0, 10.0, 8.0, 9.0, 5.0, 4.0, 7.0, 9.0, 3.0, 7.0, 8.0, 5.0, 7.0, 9.0, 7.0, 5.0, 5.0, 8.0, 8.0, 4.0, 10.0, 2.0, 3.0, 0.0"
523,2.0,male,30.0,Asian/Pacific Islander/Asian-American,1.0,1.0,law,30.0,20.0,10.0,30.0,0.0,10.0,5.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,10.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,7.0,-1.0,"2.0, male, 30.0, Asian/Pacific Islander/Asian-American, 1.0, 1.0, law, 30.0, 20.0, 10.0, 30.0, 0.0, 10.0, 5.0, 7.0, 5.0, 8.0, 5.0, 5.0, 5.0, 5.0, 6.0, 5.0, 5.0, 5.0, 10.0, 5.0, 6.0, 6.0, 6.0, 6.0, 5.0, 5.0, 5.0, 1.0, 7.0, -1.0"
542,2.0,male,23.0,Asian/Pacific Islander/Asian-American,1.0,6.0,Mechanical Engineering,20.0,25.0,20.0,15.0,10.0,10.0,6.0,9.0,6.0,8.0,4.0,1.0,3.0,1.0,7.0,5.0,3.0,3.0,1.0,1.0,9.0,8.0,5.0,7.0,2.0,2.0,5.0,1.0,6.0,1.0,"2.0, male, 23.0, Asian/Pacific Islander/Asian-American, 1.0, 6.0, Mechanical Engineering, 20.0, 25.0, 20.0, 15.0, 10.0, 10.0, 6.0, 9.0, 6.0, 8.0, 4.0, 1.0, 3.0, 1.0, 7.0, 5.0, 3.0, 3.0, 1.0, 1.0, 9.0, 8.0, 5.0, 7.0, 2.0, 2.0, 5.0, 1.0, 6.0, 1.0"
561,2.0,male,24.0,European/Caucasian-American,1.0,1.0,Economics,25.0,35.0,30.0,10.0,0.0,0.0,3.0,8.0,3.0,7.0,2.0,8.0,7.0,9.0,6.0,5.0,7.0,2.0,5.0,5.0,9.0,6.0,7.0,4.0,6.0,2.0,5.0,1.0,3.0,0.0,"2.0, male, 24.0, European/Caucasian-American, 1.0, 1.0, Economics, 25.0, 35.0, 30.0, 10.0, 0.0, 0.0, 3.0, 8.0, 3.0, 7.0, 2.0, 8.0, 7.0, 9.0, 6.0, 5.0, 7.0, 2.0, 5.0, 5.0, 9.0, 6.0, 7.0, 4.0, 6.0, 2.0, 5.0, 1.0, 3.0, 0.0"
580,2.0,male,24.0,European/Caucasian-American,3.0,3.0,Psychology,25.0,15.0,25.0,25.0,15.0,15.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,1.0,8.0,7.0,8.0,10.0,6.0,7.0,8.0,1.0,7.0,3.0,8.0,6.0,1.0,8.0,7.0,3.0,"2.0, male, 24.0, European/Caucasian-American, 3.0, 3.0, Psychology, 25.0, 15.0, 25.0, 25.0, 15.0, 15.0, 7.0, 9.0, 8.0, 9.0, 9.0, 9.0, 8.0, 1.0, 8.0, 7.0, 8.0, 10.0, 6.0, 7.0, 8.0, 1.0, 7.0, 3.0, 8.0, 6.0, 1.0, 8.0, 7.0, 3.0"
599,2.0,male,28.0,European/Caucasian-American,6.0,6.0,Finance,25.0,15.0,25.0,15.0,0.0,20.0,7.0,8.0,6.0,8.0,7.0,9.0,8.0,7.0,3.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,3.0,7.0,9.0,"2.0, male, 28.0, European/Caucasian-American, 6.0, 6.0, Finance, 25.0, 15.0, 25.0, 15.0, 0.0, 20.0, 7.0, 8.0, 6.0, 8.0, 7.0, 9.0, 8.0, 7.0, 3.0, 6.0, 6.0, 6.0, 7.0, 6.0, 6.0, 7.0, 6.0, 7.0, 6.0, 6.0, 6.0, 3.0, 7.0, 9.0"
618,2.0,male,26.0,European/Caucasian-American,2.0,3.0,Finanace,20.0,35.0,20.0,10.0,10.0,5.0,7.0,8.0,5.0,7.0,7.0,10.0,7.0,7.0,5.0,6.0,7.0,8.0,3.0,7.0,7.0,4.0,4.0,6.0,5.0,2.0,6.0,7.0,7.0,4.0,"2.0, male, 26.0, European/Caucasian-American, 2.0, 3.0, Finanace, 20.0, 35.0, 20.0, 10.0, 10.0, 5.0, 7.0, 8.0, 5.0, 7.0, 7.0, 10.0, 7.0, 7.0, 5.0, 6.0, 7.0, 8.0, 3.0, 7.0, 7.0, 4.0, 4.0, 6.0, 5.0, 2.0, 6.0, 7.0, 7.0, 4.0"
637,2.0,male,30.0,European/Caucasian-American,2.0,2.0,Finance&Economics,20.0,20.0,25.0,25.0,5.0,5.0,8.0,7.0,9.0,9.0,3.0,6.0,7.0,7.0,2.0,8.0,6.0,3.0,7.0,4.0,7.0,4.0,5.0,8.0,8.0,2.0,7.0,1.0,8.0,5.0,"2.0, male, 30.0, European/Caucasian-American, 2.0, 2.0, Finance&Economics, 20.0, 20.0, 25.0, 25.0, 5.0, 5.0, 8.0, 7.0, 9.0, 9.0, 3.0, 6.0, 7.0, 7.0, 2.0, 8.0, 6.0, 3.0, 7.0, 4.0, 7.0, 4.0, 5.0, 8.0, 8.0, 2.0, 7.0, 1.0, 8.0, 5.0"
